Timeframe,pontos,zig_zag_percent,merge_percent,rate_tp,N_trades,Taxa_acerto,Pontos_total,Retorno
1,150,0.1,0.1,1,96,58.333333333333336,1920.0,2.084345
1,250,0.1,0.1,1,96,59.375,4020.0,4.92939
1,300,0.1,0.1,1,96,59.375,4920.0,6.00695
1,150,0.1,0.1,2,96,43.75,4020.0,4.96267
1,250,0.1,0.1,2,94,41.48936170212766,5280.0,5.448665
1,300,0.1,0.1,2,94,44.680851063829785,9130.0,8.814824999999999
1,150,0.2,0.1,1,94,55.319148936170215,1030.0,1.2380449999999998
1,250,0.2,0.1,1,94,58.51063829787234,3530.0,4.001869999999999
1,300,0.2,0.1,1,94,56.38297872340425,3129.9999999999964,3.969715
1,150,0.2,0.1,2,94,39.361702127659576,2080.0,2.623835
1,250,0.2,0.1,2,94,35.1063829787234,780.0,0.9392849999999999
1,300,0.2,0.1,2,94,39.361702127659576,4630.0,3.946805
1,150,0.3,0.1,1,88,61.36363636363637,2560.0,2.67305
1,250,0.3,0.1,1,88,60.22727272727273,4060.0,4.37641
1,300,0.3,0.1,1,87,57.47126436781609,3465.0,3.86969
1,150,0.3,0.1,2,88,45.45454545454545,4360.0,4.54559
1,250,0.3,0.1,2,88,38.63636363636363,3059.9999999999945,3.06067
1,300,0.3,0.1,2,87,40.229885057471265,4965.0,5.11017
1,150,0.1,0.2,1,110,54.54545454545454,949.9999999999973,1.26326
1,250,0.1,0.2,1,110,61.81818181818181,5949.999999999993,6.83705
1,300,0.1,0.2,1,110,60.0,6050.0,7.25721
1,150,0.1,0.2,2,110,40.909090909090914,3200.000000000002,4.415595
1,250,0.1,0.2,2,109,42.201834862385326,6705.0000000000055,6.994835000000001
1,300,0.1,0.2,2,109,46.788990825688074,12655.0,12.31054
1,150,0.2,0.2,1,90,51.11111111111111,-150.0,0.31215000000000004
1,250,0.2,0.2,1,90,55.55555555555556,2050.0,2.8626300000000002
1,300,0.2,0.2,1,90,54.44444444444444,1950.0,2.848685
1,150,0.2,0.2,2,90,35.55555555555556,450.0,1.280435
1,250,0.2,0.2,2,90,37.77777777777778,2550.0,2.7373000000000003
1,300,0.2,0.2,2,90,38.88888888888889,4050.0000000000073,4.08185
1,150,0.3,0.2,1,90,52.22222222222223,150.00000000000182,0.72128
1,250,0.3,0.2,1,90,54.44444444444444,1550.0,2.52697
1,300,0.3,0.2,1,89,56.17977528089888,2855.0,3.8750600000000004
1,150,0.3,0.2,2,90,36.666666666666664,900.0,1.60512
1,250,0.3,0.2,2,90,36.666666666666664,1800.0,2.396355
1,300,0.3,0.2,2,89,38.20224719101123,3454.9999999999927,4.335205
