Timeframe,pontos,zig_zag_percent,merge_percent,rate_tp,N_trades,Taxa_acerto,Pontos_total,Retorno
1,0.0003,0.1,0.1,1,535,50.654205607476634,-0.02465,0.038530955120131376
1,0.0005,0.1,0.1,1,521,54.894433781190024,-0.000549999999999936,2.2036728788096607
1,0.0007,0.1,0.1,1,487,52.56673511293635,-0.006849999999999929,1.3624179715597928
1,0.0003,0.1,0.1,2,523,36.137667304015295,-0.01295000000000001,0.9925950836799593
1,0.0005,0.1,0.1,2,483,37.267080745341616,0.004349999999999996,2.1562637622599454
1,0.0007,0.1,0.1,2,423,34.04255319148936,-0.014850000000000002,0.5126674369927794
1,0.0003,0.2,0.1,1,415,49.39759036144578,-0.02225000000000001,-0.1770299283903986
1,0.0005,0.2,0.1,1,403,51.61290322580645,-0.013649999999999995,0.47400475504978
1,0.0007,0.2,0.1,1,381,52.75590551181102,-0.00435000000000001,1.4136676816195697
1,0.0003,0.2,0.1,2,403,37.220843672456574,-0.00605,1.2286400156397075
1,0.0005,0.2,0.1,2,381,34.90813648293963,-0.010049999999999993,0.7047071680296063
1,0.0007,0.2,0.1,2,345,33.04347826086956,-0.01935000000000002,-0.025267328687891367
1,0.0003,0.3,0.1,1,319,51.724137931034484,-0.012650000000000005,0.2695944437099695
1,0.0005,0.3,0.1,1,313,53.99361022364217,-0.0031500000000000035,1.0350276168400199
1,0.0007,0.3,0.1,1,295,53.559322033898304,-4.999999999999623e-05,1.3315815770400168
1,0.0003,0.3,0.1,2,312,38.782051282051285,-0.0002999999999999999,1.3441112676998823
1,0.0005,0.3,0.1,2,293,34.8122866894198,-0.008149999999999982,0.46275278602001074
1,0.0007,0.3,0.1,2,266,30.075187969924812,-0.03150000000000001,-1.464652026558146
1,0.0003,0.1,0.2,1,416,47.59615384615385,-0.026800000000000008,-0.5148820723997652
1,0.0005,0.1,0.2,1,404,49.504950495049506,-0.022200000000000004,-0.20499434637002648
1,0.0007,0.1,0.2,1,374,48.39572192513369,-0.027099999999999992,-0.7991227509599029
1,0.0003,0.1,0.2,2,405,33.33333333333333,-0.020250000000000015,0.039228463779971
1,0.0005,0.1,0.2,2,370,32.16216216216216,-0.024999999999999994,-0.7932916089998634
1,0.0007,0.1,0.2,2,338,30.473372781065088,-0.03720000000000001,-1.84968653628774
1,0.0003,0.2,0.2,1,292,46.23287671232877,-0.021200000000000004,-0.607249430639848
1,0.0005,0.2,0.2,1,286,46.50349650349651,-0.024299999999999967,-0.9217658662796915
1,0.0007,0.2,0.2,1,269,46.468401486988846,-0.026750000000000006,-1.103172228339687
1,0.0003,0.2,0.2,2,288,32.98611111111111,-0.015300000000000006,-0.13516095857991278
1,0.0005,0.2,0.2,2,268,27.611940298507463,-0.03640000000000001,-2.161718924609572
1,0.0007,0.2,0.2,2,249,27.309236947791167,-0.04394999999999999,-2.736052636218101
1,0.0003,0.3,0.2,1,258,49.6124031007752,-0.013500000000000003,-0.06647573293988407
1,0.0005,0.3,0.2,1,252,50.39682539682539,-0.011600000000000013,0.0828991517200619
1,0.0007,0.3,0.2,1,241,52.69709543568465,-0.002949999999999989,0.9032965205100179
1,0.0003,0.3,0.2,2,257,36.57587548638132,-0.0053500000000000075,0.6388774502599835
1,0.0005,0.3,0.2,2,239,35.98326359832636,-0.002449999999999992,0.7993909155700356
1,0.0007,0.3,0.2,2,216,36.574074074074076,0.003900000000000004,1.350329927231446
