Timeframe,pontos,zig_zag_percent,merge_percent,rate_tp,N_trades,Taxa_acerto,Pontos_total,Retorno
1,150,0.1,0.1,1,190,61.05263157894737,5350.0,5.87268
1,250,0.1,0.1,1,187,56.14973262032086,4815.000000000007,6.565600000000001
1,300,0.1,0.1,1,187,56.14973262032086,5965.000000000007,7.3178350000000005
1,150,0.1,0.1,2,190,41.578947368421055,6100.0,7.5886700000000005
1,250,0.1,0.1,2,181,37.569060773480665,4845.0,6.949089999999999
1,300,0.1,0.1,2,179,38.547486033519554,7505.0,7.35165
1,150,0.2,0.1,1,175,53.142857142857146,775.0,1.53576
1,250,0.2,0.1,1,174,52.87356321839081,1630.0,3.073925
1,300,0.2,0.1,1,171,50.29239766081871,-555.0000000000073,1.3949349999999998
1,150,0.2,0.1,2,175,34.285714285714285,-125.0,1.8619
1,250,0.2,0.1,2,170,32.94117647058823,-1350.0000000000036,-0.80126
1,300,0.2,0.1,2,167,34.73053892215569,1265.0,2.02476
1,150,0.3,0.1,1,169,55.62130177514793,2005.0,2.85384
1,250,0.3,0.1,1,168,55.35714285714286,3660.0,6.250255
1,300,0.3,0.1,1,167,53.89221556886228,3065.0,5.761335
1,150,0.3,0.1,2,168,38.095238095238095,2760.0,5.183895000000001
1,250,0.3,0.1,2,165,36.36363636363637,2925.0000000000036,4.47621
1,300,0.3,0.1,2,164,36.58536585365854,3980.0,7.028474999999999
1,150,0.1,0.2,1,196,53.57142857142857,1120.0,1.90998
1,250,0.1,0.2,1,195,55.8974358974359,4775.0,6.229735
1,300,0.1,0.2,1,193,53.8860103626943,3535.0,5.202535
1,150,0.1,0.2,2,196,36.224489795918366,1570.0,2.78576
1,250,0.1,0.2,2,193,36.26943005181347,3285.0,4.505485
1,300,0.1,0.2,2,189,37.56613756613756,6254.999999999985,6.20304
1,150,0.2,0.2,1,178,51.12359550561798,-290.0,0.703325
1,250,0.2,0.2,1,177,51.41242937853108,365.0000000000073,3.2220600000000004
1,300,0.2,0.2,1,174,48.85057471264368,-2070.0,1.05779
1,150,0.2,0.2,2,178,32.58426966292135,-1490.0,1.379575
1,250,0.2,0.2,2,173,34.104046242774565,135.0,1.41518
1,300,0.2,0.2,2,170,34.11764705882353,350.0,3.1253049999999996
1,150,0.3,0.2,1,177,51.9774011299435,165.0,1.213845
1,250,0.3,0.2,1,175,55.42857142857143,3875.0,6.64941
1,300,0.3,0.2,1,174,54.59770114942529,3930.0,6.81471
1,150,0.3,0.2,2,176,34.659090909090914,170.00000000000364,2.8417749999999997
1,250,0.3,0.2,2,172,35.46511627906977,1890.0,4.118045
1,300,0.3,0.2,2,171,35.67251461988304,2745.0,5.79876
