Timeframe,pontos,zig_zag_percent,merge_percent,rate_tp,N_trades,Taxa_acerto,Pontos_total,Retorno
1,150,0.1,0.1,1,207,57.00483091787439,3315.0,3.9506850000000004
1,250,0.1,0.1,1,205,54.146341463414636,3225.0,5.160515
1,300,0.1,0.1,1,202,51.48514851485149,790.0,3.4057999999999997
1,150,0.1,0.1,2,207,37.19806763285024,2565.0,4.327115
1,250,0.1,0.1,2,194,34.5360824742268,780.0,2.514375
1,300,0.1,0.1,2,188,38.297872340425535,7460.000000000015,10.048145
1,150,0.2,0.1,1,194,53.09278350515464,830.0,1.55071
1,250,0.2,0.1,1,192,53.125,2040.0,3.488565
1,300,0.2,0.1,1,189,47.61904761904761,-3645.0000000000073,-1.28185
1,150,0.2,0.1,2,194,31.443298969072163,-2620.0,-0.361055
1,250,0.2,0.1,2,186,32.25806451612903,-2430.0,-1.03409
1,300,0.2,0.1,2,180,35.0,1800.0,2.47595
1,150,0.3,0.1,1,177,53.10734463276836,765.0,2.06683
1,250,0.3,0.1,1,177,54.80225988700565,3365.0,6.41639
1,300,0.3,0.1,1,176,51.70454545454546,920.0000000000073,4.187545
1,150,0.3,0.1,2,177,36.15819209039548,1365.0,4.118795
1,250,0.3,0.1,2,171,35.67251461988304,2145.0,4.765775
1,300,0.3,0.1,2,169,36.68639053254438,4255.0,7.560705
1,150,0.1,0.2,1,218,51.8348623853211,110.0,0.701425
1,250,0.1,0.2,1,215,53.95348837209303,3175.0,3.914765
1,300,0.1,0.2,1,213,49.76525821596244,-1365.0,0.124645
1,150,0.1,0.2,2,218,33.02752293577982,-1389.9999999999964,-0.10799
1,250,0.1,0.2,2,211,35.07109004739337,1695.0000000000073,3.8920700000000004
1,300,0.1,0.2,2,202,37.12871287128713,5890.0,7.529279999999999
1,150,0.2,0.2,1,205,51.21951219512195,-275.0,1.6117249999999999
1,250,0.2,0.2,1,203,52.21674876847291,1235.0000000000073,5.037585
1,300,0.2,0.2,1,200,49.0,-2200.0,1.915375
1,150,0.2,0.2,2,205,33.170731707317074,-1175.0,2.471265
1,250,0.2,0.2,2,193,35.233160621761655,1784.999999999989,2.3183100000000003
1,300,0.2,0.2,2,188,34.04255319148936,260.0,1.638465
1,150,0.3,0.2,1,195,49.743589743589745,-1125.0,-0.14254999999999998
1,250,0.3,0.2,1,194,55.154639175257735,4030.0,6.80266
1,300,0.3,0.2,1,193,53.36787564766839,2935.0,5.92332
1,150,0.3,0.2,2,195,33.84615384615385,-525.0,2.0296600000000002
1,250,0.3,0.2,2,188,35.1063829787234,1560.0,4.038675
1,300,0.3,0.2,2,186,36.02150537634409,3570.0,6.184245
