Open,High,Low,Close,Vol,MA_5,MA_21,SAR,BB_up,BB_mid,BB_low,OBV,macd,macdsignal,macdhist,fastk,fastd,RSI,MOM,TRIX,CCI,ADX,MA_9,resultado_binario
5207.5,5213.0,5206.5,5213.0,9461,5209.4,5219.285714285715,5246.5,5233.746556366097,5218.775,5203.803443633902,-22786.0,-5.487565056988387,-4.810451535730259,-0.6771135212581285,93.33333333333334,43.66013071895424,38.76497525074316,-6.5,-0.004814227019778183,-59.73461450469028,25.530467182376885,5212.34020764963,1
5212.5,5213.0,5207.0,5208.0,12406,5208.9,5218.261904761905,5246.5,5232.072732982355,5217.6,5203.127267017646,-35192.0,-5.545706732750659,-4.957502575134339,-0.5882041576163202,28.57142857142857,46.517273576097104,33.1225795693681,-6.0,-0.005159005973054409,-72.01426024955538,25.144241776368993,5211.4721661197045,1
5209.0,5216.0,5208.0,5215.0,16610,5210.4,5215.571428571428,5246.5,5227.653062870074,5215.0,5202.346937129926,-30899.0,-4.7555741562673575,-5.076447569775175,0.32087341350781795,92.59259259259258,65.7848324514991,46.84048720289597,0.5,-0.006113968439969142,41.97530864197231,24.41227611647307,5211.209749053289,0
5214.5,5217.5,5213.0,5214.5,5865,5216.3,5213.047619047619,5246.5,5219.890716990052,5212.725,5205.559283009949,-66223.0,-2.0500034943033825,-3.2749708411094796,1.224967346806097,28.57142857142857,47.51552795031055,46.102858271086326,1.5,-0.006883827860126868,58.250276854926064,17.356810215933113,5214.547432455825,0
5197.5,5204.0,5197.0,5203.5,9207,5199.2,5206.714285714285,5246.5,5221.434419435472,5206.6,5191.765580564529,-131249.0,-4.730704148859331,-4.622363060358394,-0.10834108850093749,90.47619047619048,42.857142857142854,45.25280099398241,-2.5,-0.008777397961468036,-26.5901060070741,24.67352296125,5200.853338319854,1
5209.0,5209.5,5200.5,5203.5,9367,5206.0,5203.452380952381,5246.5,5210.142927585468,5202.9,5195.657072414531,-115478.0,-1.7363080684581291,-2.950540098949035,1.2142320304909058,28.571428571428573,62.65664160401001,45.45418994686404,5.0,-0.008948874618341929,48.92473118278237,17.763837984301095,5204.551866816416,1
5204.0,5208.5,5203.0,5207.5,6466,5204.8,5202.666666666667,5246.5,5209.43541635333,5202.5,5195.56458364667,-117187.0,-1.3396158332097912,-2.301318957208707,0.961703123998916,69.56521739130434,39.13043478260868,52.49501745298869,4.0,-0.008682835673745615,80.27385537013062,16.10295807174554,5204.518555810005,1
5208.0,5208.5,5200.0,5201.5,9963,5203.4,5202.452380952381,5246.5,5209.421042037556,5202.475,5195.528957962445,-127150.0,-1.4691472611193603,-2.1348846179908376,0.6657373568714773,20.0,41.44927536231882,44.32508282395292,-2.0,-0.008571900258047549,-0.3319108582218054,15.872056079260586,5203.914844648004,1
5199.0,5208.0,5199.0,5207.5,9917,5203.9,5202.5,5246.5,5209.924957627038,5202.55,5195.175042372963,-127177.0,-1.2471233295254933,-1.889900219611183,0.6427768900856896,90.0,39.999999999999986,52.74949722491067,2.5,-0.008342057593258012,24.950495049495583,15.104463563528155,5203.925500574723,1
5208.0,5209.5,5203.0,5204.0,11081,5204.1,5203.0,5246.5,5210.554108432522,5203.25,5195.945891567478,-129353.0,-0.8087161778958034,-1.5037085192971276,0.6949923414013242,50.0,78.33333333333331,48.20760967519677,-3.5,-0.008016508196906358,30.55555555557187,13.756896764202313,5204.592320367823,1
5202.5,5206.0,5202.0,5205.5,4076,5205.5,5203.380952380952,5246.5,5210.631247212736,5203.625,5196.618752787264,-129231.0,-0.729563800869073,-1.2529740178040947,0.5234102169350217,61.904761904761905,49.42279942279941,50.39779815472541,2.0,-0.007683327617935554,-9.929078014184782,12.332492148149347,5204.439085035407,1
5227.5,5229.5,5222.5,5223.0,11129,5227.3,5219.4047619047615,5246.5,5238.387495751027,5220.0,5201.612504248973,-57535.0,5.348277480155957,5.272286604914259,0.07599087524169779,5.0,37.222222222222214,56.04699054607212,0.0,0.00022492813973595815,-6.357214934407246,38.14072275909398,5225.827964393018,1
5223.5,5225.0,5220.5,5225.0,7579,5223.4,5222.833333333333,5246.5,5234.223307465314,5223.7,5213.176692534686,-52356.0,3.7440304424553688,4.5817323878615275,-0.8377019454061587,50.0,34.09090909090908,58.65486896874067,-3.0,0.002003527693661411,-81.85907046478421,33.99444214096444,5224.59993421538,1
5228.5,5229.0,5226.5,5226.5,4103,5227.4,5226.690476190476,5246.5,5231.477988159881,5226.875,5222.272011840119,-45882.0,3.235053676508869,3.811954818799321,-0.5769011422904518,33.333333333333336,51.93107546048722,56.526471609727146,3.5,0.00400056137859206,30.810520665576448,34.424560560461146,5226.804085154957,1
5226.5,5236.5,5226.5,5236.0,16221,5227.8,5226.976190476191,5246.5,5233.050969310132,5226.925,5220.799030689868,-30729.0,3.0408977589549977,3.1858739544932044,-0.14497619553820673,96.0,56.24242424242425,67.99252104549109,11.0,0.004820414668271766,204.3985161632346,33.75000249545523,5228.175753279471,0
5237.5,5238.0,5232.5,5233.0,7860,5237.4,5230.428571428572,5246.5,5242.77937550702,5230.85,5218.920624492981,-12370.0,4.265050393268211,4.255590066339687,0.009460326928524054,5.2631578947368425,23.42105263157894,55.47900177855338,8.5,0.0066680595359525086,20.716510903446185,39.785538816007,5235.181958934156,0
5225.0,5229.0,5225.0,5228.5,5882,5225.7,5230.5952380952385,5246.5,5242.65594715358,5230.725,5218.7940528464205,-30085.0,0.03243632855628675,1.4075034529389785,-1.3750671243826917,91.66666666666667,44.444444444444436,50.688565581028136,-9.0,0.0066263407336952795,-48.300573300562185,24.05146733612549,5227.657362843414,0
5229.0,5229.0,5225.0,5226.0,6937,5225.6,5230.5,5246.5,5242.6682914407,5230.7,5218.7317085592995,-37022.0,-0.15157219572483882,1.0956883232062151,-1.247260518931054,50.0,55.55555555555554,46.28752954711988,-11.5,0.0064752063215101074,-51.85185185184269,22.37572504254746,5227.325890274731,0
5216.0,5221.0,5214.5,5220.5,7320,5216.5,5223.952380952381,5246.5,5235.726807098341,5223.275,5210.823192901658,-95140.0,-3.065520514443051,-2.282964707870717,-0.7825558065723341,95.0,67.28174603174601,46.09214219849991,-8.0,0.003568240275786394,-28.47222222221907,22.94331264472479,5218.695457116251,0
5220.0,5220.0,5218.5,5219.0,1747,5219.6,5221.714285714285,5246.5,5230.618883836746,5221.425,5212.231116163254,-98225.0,-2.3652270555548967,-2.3760609232798666,0.01083386772496997,60.0,79.25925925925922,44.0448499636459,-2.0,0.002538741335800232,-6.9484470060854155,19.077212347285034,5219.388074043521,0
5216.5,5220.0,5215.0,5219.0,4111,5219.4,5220.809523809524,5246.5,5229.118456813839,5220.525,5211.9315431861605,-98757.0,-2.2767908918613102,-2.363327469804145,0.08653657794283465,57.14285714285714,50.15873015873012,45.05007161419755,5.0,0.0018973293668844704,-4.62046204618777,18.47963313812777,5218.9283673878535,0
5219.0,5219.5,5216.5,5217.0,1990,5218.4,5220.357142857143,5246.5,5228.313776375947,5220.05,5211.7862236240535,-100747.0,-2.297745671501616,-2.350211110143639,0.05246543864202291,28.57142857142857,39.68253968253965,42.028256568720714,3.5,0.0015897864872549405,0.8215962441508493,18.050494052343943,5218.542693910283,0
5216.0,5217.5,5214.5,5216.5,3449,5214.3,5217.642857142857,5246.5,5223.639631711443,5217.225,5210.810368288558,-98655.0,-2.627093087454341,-2.614041904832876,-0.013051182621464985,86.66666666666667,58.187134502923946,45.27069446382429,-5.5,1.7785124839519995e-05,-18.8824662813,19.378510337228537,5215.905989940521,1
5217.5,5219.0,5215.0,5216.0,4413,5215.7,5216.857142857143,5246.5,5221.951886458073,5216.65,5211.348113541926,-100112.0,-2.2270536925243505,-2.494512398787903,0.2674587062635525,66.66666666666667,80.52287581699345,44.68830661241176,-3.0,-0.0005022362643991585,-9.9644128113695,17.913294449084002,5216.179833561933,1
5214.0,5217.5,5213.5,5215.5,2204,5215.1,5216.547619047619,5246.5,5221.754483724635,5216.525,5211.295516275364,-98921.0,-1.9939902865853583,-2.2599604214923117,0.2659701349069534,46.15384615384615,38.46153846153843,45.23917109311143,-0.5,-0.0013920011345813776,-3.333333333327119,17.3627039521694,5215.436059826968,1
5220.5,5221.5,5216.5,5218.5,4198,5220.2,5216.761904761905,5246.5,5222.121219600243,5216.75,5211.378780399757,-89784.0,0.13368731739410578,-0.6200017162665286,0.7536890336606343,36.36363636363637,68.53146853146849,49.98741704053283,4.5,-0.002079218856376741,47.584973166382355,13.641311089100082,5218.966297071247,0
5218.5,5222.0,5218.5,5220.5,3255,5220.2,5216.928571428572,5246.5,5222.573883815684,5216.975,5211.376116184317,-86529.0,0.27579407191296923,-0.440842558630629,0.7166366305435983,72.72727272727273,64.56876456876454,54.671634133068245,5.0,-0.00204806714181327,84.49612403102631,12.674762891551392,5219.273037656998,0
5219.5,5219.5,5213.5,5215.5,6691,5219.0,5217.333333333333,5246.5,5222.043328387467,5217.55,5213.056671612533,-94761.0,0.00392915062730026,-0.23267880890403445,0.2366079595313347,23.52941176470588,50.26737967914434,43.12726776222065,-1.5,-0.00198258070627233,-72.7272727272388,12.778152801247348,5218.554744100479,0
5211.5,5215.0,5210.0,5213.0,4218,5210.9,5215.523809523809,5246.5,5223.634741902439,5215.45,5207.265258097561,-97563.0,-1.8646960527694318,-1.586800494299174,-0.2778955584702578,73.33333333333334,49.999999999999964,45.96020116526393,1.0,-0.0026127263840658443,-26.92307692307528,22.010295785540283,5212.340214874104,1
5220.0,5220.0,5216.5,5216.5,3939,5218.3,5214.642857142857,5246.5,5220.617716623594,5214.4,5208.182283376405,-77701.0,0.4340373653840288,-0.3361384652840057,0.7701758306680345,8.333333333333334,55.55555555555549,51.025988755474685,7.5,-0.002458943390970525,60.489060489064755,15.179862249096898,5216.935748664293,1
5214.5,5219.0,5213.0,5216.5,4830,5217.3,5214.428571428572,5246.5,5220.7217096499735,5214.55,5208.378290350027,-77803.0,0.21926692846773221,-0.13878057810171218,0.3580475065694444,38.88888888888889,19.444444444444382,51.19277091956459,3.5,-0.002305542661640292,20.289855072457026,14.437506193263086,5216.378879145147,1
5217.0,5217.5,5210.5,5210.5,5095,5215.5,5214.357142857143,5246.5,5220.784902544989,5214.5,5208.215097455011,-82898.0,-0.2491913305775597,-0.1608627285968817,-0.08832860198067802,0.0,16.666666666666604,40.288772558537325,-3.5,-0.002256086494134557,-72.57844474762736,14.482006814031049,5215.203103316117,1
5213.5,5216.5,5212.0,5215.5,5977,5213.9,5214.452380952381,5246.5,5220.751729011794,5214.425,5208.098270988206,-71815.0,-0.33888161353752366,-0.2369599962792105,-0.10192161725831317,61.111111111111114,30.370370370370306,50.1785659302525,-1.5,-0.0021742015555159533,-41.541874653344095,14.08437186850058,5214.909986122315,1
5227.5,5228.0,5225.0,5226.0,6329,5228.8,5221.690476190476,5246.5,5234.12233744014,5221.8,5209.477662559861,-28074.0,3.3761929316051464,2.83751158602205,0.5386813455830963,11.11111111111111,31.111111111111057,58.05731510005471,6.0,0.0005444008696509073,32.54064221414935,26.19681328677112,5226.604338175119,0
5226.5,5227.5,5224.0,5227.5,4607,5228.0,5222.071428571428,5246.5,5234.710050856806,5222.175,5209.639949143194,-23467.0,3.274833557305101,2.9249759802786603,0.3498575770264405,43.75,25.69444444444439,60.50736186665512,5.5,0.0008303337271753364,23.807165263321718,25.984618256107474,5226.783470540095,0
