Data,media
2023-01-05 09:00:47,107282.5
2023-01-05 09:00:48,107292.5
2023-01-05 09:00:49,107305.0
2023-01-05 09:00:50,107280.0
2023-01-05 09:00:51,107282.5
2023-01-05 09:00:52,107280.0
2023-01-05 09:00:53,107275.0
2023-01-05 09:00:54,107270.0
2023-01-05 09:00:55,107255.0
2023-01-05 09:00:56,107232.5
2023-01-05 09:00:57,107210.0
2023-01-05 09:00:58,107210.0
2023-01-05 09:00:59,107227.5
2023-01-05 09:01:00,107222.5
2023-01-05 09:01:01,107240.0
2023-01-05 09:01:02,107222.5
2023-01-05 09:01:03,107192.5
2023-01-05 09:01:04,107172.5
2023-01-05 09:01:05,107182.5
2023-01-05 09:01:06,107165.0
2023-01-05 09:01:07,107182.5
2023-01-05 09:01:08,107182.5
2023-01-05 09:01:09,107167.5
2023-01-05 09:01:10,107215.0
2023-01-05 09:01:11,107250.0
2023-01-05 09:01:12,107245.0
2023-01-05 09:01:13,107232.5
2023-01-05 09:01:14,107237.5
2023-01-05 09:01:15,107247.5
2023-01-05 09:01:16,107262.5
2023-01-05 09:01:17,107285.0
2023-01-05 09:01:18,107302.5
2023-01-05 09:01:19,107290.0
2023-01-05 09:01:20,107287.5
2023-01-05 09:01:21,107285.0
2023-01-05 09:01:22,107290.0
2023-01-05 09:01:23,107310.0
2023-01-05 09:01:24,107330.0
2023-01-05 09:01:25,107347.5
2023-01-05 09:01:26,107360.0
2023-01-05 09:01:27,107365.0
2023-01-05 09:01:28,107377.5
2023-01-05 09:01:29,107390.0
2023-01-05 09:01:30,107390.0
2023-01-05 09:01:31,107382.5
2023-01-05 09:01:32,107402.5
2023-01-05 09:01:33,107422.5
2023-01-05 09:01:34,107427.5
2023-01-05 09:01:35,107415.0
2023-01-05 09:01:36,107405.0
2023-01-05 09:01:37,107395.0
2023-01-05 09:01:38,107390.0
2023-01-05 09:01:39,107372.5
2023-01-05 09:01:40,107367.5
2023-01-05 09:01:41,107377.5
2023-01-05 09:01:42,107370.0
2023-01-05 09:01:43,107357.5
2023-01-05 09:01:44,107355.0
2023-01-05 09:01:45,107357.5
2023-01-05 09:01:46,107350.0
2023-01-05 09:01:47,107347.5
2023-01-05 09:01:48,107350.0
2023-01-05 09:01:49,107342.5
2023-01-05 09:01:50,107352.5
2023-01-05 09:01:51,107347.5
2023-01-05 09:01:52,107347.5
2023-01-05 09:01:53,107342.5
2023-01-05 09:01:54,107342.5
2023-01-05 09:01:55,107342.5
2023-01-05 09:01:56,107332.5
2023-01-05 09:01:57,107330.0
2023-01-05 09:01:58,107335.0
2023-01-05 09:01:59,107350.0
2023-01-05 09:02:00,107397.5
2023-01-05 09:02:01,107407.5
2023-01-05 09:02:02,107395.0
2023-01-05 09:02:03,107410.0
2023-01-05 09:02:04,107392.5
2023-01-05 09:02:05,107370.0
2023-01-05 09:02:06,107355.0
2023-01-05 09:02:07,107357.5
2023-01-05 09:02:08,107375.0
2023-01-05 09:02:09,107385.0
2023-01-05 09:02:10,107380.0
2023-01-05 09:02:11,107382.5
2023-01-05 09:02:12,107375.0
2023-01-05 09:02:13,107387.5
2023-01-05 09:02:14,107390.0
2023-01-05 09:02:15,107387.5
2023-01-05 09:02:16,107385.0
2023-01-05 09:02:17,107370.0
2023-01-05 09:02:18,107355.0
