ativo,var_bb,rate_tp,rate_stop,pontos,qtd_operacoes,taxa_acerto,pontos_bruto,pontos_liquido
EURUSD5,2.2,3.0,1,0.001,1131,0.2634836427939876,0.061,0.004449999999999996
EURUSD5,2.2,3.5,1,0.001,1131,0.23342175066312998,0.057,0.000449999999999999
EURUSD5,2.2,4.0,1,0.001,1131,0.22015915119363394,0.1139999999999999,0.05744999999999989
EURUSD5,2.2,5.0,1,0.001,1131,0.1874447391688771,0.14100000000000001,0.08445000000000001
EURUSD5,2.2,2.0,1,0.0012,1131,0.3510167992926614,0.072,0.015449999999999992
EURUSD5,2.2,2.5,1,0.0012,1131,0.3006189213085765,0.07079999999999999,0.014249999999999985
EURUSD5,2.2,3.0,1,0.0012,1131,0.2608311229000884,0.0588,0.002249999999999995
EURUSD5,2.2,3.5,1,0.0012,1131,0.23784261715296198,0.09539999999999998,0.03884999999999998
EURUSD5,2.2,4.0,1,0.0012,1131,0.21573828470380194,0.10679999999999999,0.05024999999999999
EURUSD5,2.2,5.0,1,0.0012,1131,0.18037135278514588,0.11159999999999999,0.05504999999999999
EURUSD5,2.2,2.0,1,0.0015,1131,0.34571175950486294,0.063,0.006449999999999997
EURUSD5,2.2,2.5,1,0.0015,1131,0.29708222811671087,0.0675,0.010950000000000001
EURUSD5,2.2,3.0,1,0.0015,1131,0.2625994694960212,0.0855,0.028950000000000004
EURUSD5,2.2,3.5,1,0.0015,1131,0.23872679045092837,0.126,0.06945
EURUSD5,2.2,4.0,1,0.0015,1131,0.21131741821396993,0.096,0.03945
EURUSD5,2.2,5.0,1,0.0015,1131,0.1786030061892131,0.1215,0.06495
