,ativo,var_bb,rate_tp,rate_stop,pontos,qtd_operacoes,taxa_acerto,pontos_bruto,pontos_liquido
0,wdo_5,3.0,5.0,1,40,47,0.0851063829787234,-920.0,-1155.0
0,wdo_5,3.0,1.5,1,80,47,0.3829787234042553,-160.0,-395.0
0,wdo_5,3.0,2.0,1,80,47,0.2978723404255319,-400.0,-635.0
0,wdo_5,3.0,2.5,1,80,47,0.14893617021276595,-1800.0,-2035.0
0,wdo_5,3.0,3.0,1,80,47,0.14893617021276595,-1520.0,-1755.0
0,wdo_5,3.0,5.0,1,80,47,0.0425531914893617,-2800.0,-3035.0
0,wdo_5,3.0,1.5,1,100,47,0.3617021276595745,-450.0,-685.0
0,wdo_5,3.0,2.0,1,100,47,0.2127659574468085,-1700.0,-1935.0
0,wdo_5,3.0,2.5,1,100,47,0.2127659574468085,-1200.0,-1435.0
0,wdo_5,3.0,3.0,1,100,47,0.10638297872340426,-2700.0,-2935.0
0,wdo_5,3.0,5.0,1,100,47,0.0425531914893617,-3500.0,-3735.0
0,wdo_5,3.0,1.5,1,150,47,0.3617021276595745,-675.0,-910.0
0,wdo_5,3.0,2.0,1,150,47,0.23404255319148937,-2100.0,-2335.0
0,wdo_5,3.0,2.5,1,150,47,0.1702127659574468,-2850.0,-3085.0
0,wdo_5,3.0,3.0,1,150,47,0.0425531914893617,-5850.0,-6085.0
0,wdo_5,3.0,5.0,1,150,47,0.02127659574468085,-6150.0,-6385.0
0,wdo_15,2.5,1.5,1,40,48,0.5,480.0,240.0
0,wdo_15,2.5,2.0,1,40,48,0.3958333333333333,360.0,120.0
0,wdo_15,2.5,2.5,1,40,48,0.3958333333333333,740.0,500.0
0,wdo_15,2.5,3.0,1,40,48,0.3333333333333333,640.0,400.0
0,wdo_15,2.5,5.0,1,40,48,0.16666666666666666,0.0,-240.0
0,wdo_15,2.5,1.5,1,80,48,0.4791666666666667,760.0,520.0
0,wdo_15,2.5,2.0,1,80,48,0.3541666666666667,240.0,0.0
0,wdo_15,2.5,2.5,1,80,48,0.22916666666666666,-760.0,-1000.0
0,wdo_15,2.5,3.0,1,80,48,0.16666666666666666,-1280.0,-1520.0
0,wdo_15,2.5,5.0,1,80,48,0.08333333333333333,-1920.0,-2160.0
0,wdo_15,2.5,1.5,1,100,48,0.5,1200.0,960.0
0,wdo_15,2.5,2.0,1,100,48,0.3125,-300.0,-540.0
0,wdo_15,2.5,2.5,1,100,48,0.1875,-1650.0,-1890.0
0,wdo_15,2.5,3.0,1,100,48,0.14583333333333334,-2000.0,-2240.0
0,wdo_15,2.5,5.0,1,100,48,0.0,-4800.0,-5040.0
0,wdo_15,2.5,1.5,1,150,48,0.2916666666666667,-1950.0,-2190.0
0,wdo_15,2.5,2.0,1,150,48,0.22916666666666666,-2250.0,-2490.0
0,wdo_15,2.5,2.5,1,150,48,0.1875,-2475.0,-2715.0
0,wdo_15,2.5,3.0,1,150,48,0.0625,-5400.0,-5640.0
0,wdo_15,2.5,5.0,1,150,48,0.0,-7200.0,-7440.0
0,wdo_15,3.0,1.5,1,40,24,0.4166666666666667,40.0,-80.0
0,wdo_15,3.0,2.0,1,40,24,0.375,120.0,0.0
0,wdo_15,3.0,2.5,1,40,24,0.3333333333333333,160.0,40.0
0,wdo_15,3.0,3.0,1,40,24,0.25,0.0,-120.0
0,wdo_15,3.0,5.0,1,40,24,0.16666666666666666,0.0,-120.0
0,wdo_15,3.0,1.5,1,80,24,0.4166666666666667,80.0,-40.0
0,wdo_15,3.0,2.0,1,80,24,0.3333333333333333,0.0,-120.0
0,wdo_15,3.0,2.5,1,80,24,0.2916666666666667,40.0,-80.0
0,wdo_15,3.0,3.0,1,80,24,0.20833333333333334,-320.0,-440.0
0,wdo_15,3.0,5.0,1,80,24,0.125,-480.0,-600.0
0,wdo_15,3.0,1.5,1,100,24,0.4166666666666667,100.0,-20.0
0,wdo_15,3.0,2.0,1,100,24,0.3333333333333333,0.0,-120.0
0,wdo_15,3.0,2.5,1,100,24,0.16666666666666666,-1000.0,-1120.0
0,wdo_15,3.0,3.0,1,100,24,0.125,-1200.0,-1320.0
0,wdo_15,3.0,5.0,1,100,24,0.0,-2400.0,-2520.0
0,wdo_15,3.0,1.5,1,150,24,0.2916666666666667,-975.0,-1095.0
0,wdo_15,3.0,2.0,1,150,24,0.25,-900.0,-1020.0
0,wdo_15,3.0,2.5,1,150,24,0.20833333333333334,-975.0,-1095.0
0,wdo_15,3.0,3.0,1,150,24,0.125,-1800.0,-1920.0
0,wdo_15,3.0,5.0,1,150,24,0.0,-3600.0,-3720.0
