,ativo,var_bb,rate_tp,rate_stop,pontos,qtd_operacoes,taxa_acerto,pontos_bruto,pontos_liquido
0,win_5,3.0,5.0,1,80,70,0.2571428571428571,3040.0,2690.0
0,win_5,3.0,1.5,1,100,70,0.44285714285714284,750.0,400.0
0,win_5,3.0,2.0,1,100,70,0.4142857142857143,1700.0000000000007,1350.0000000000007
0,win_5,3.0,2.5,1,100,70,0.38571428571428573,2450.0,2100.0
0,win_5,3.0,3.0,1,100,70,0.34285714285714286,2600.0,2250.0
0,win_5,3.0,5.0,1,100,70,0.2571428571428571,3800.0,3450.0
0,win_5,3.0,1.5,1,150,70,0.5428571428571428,3750.0,3400.0
0,win_5,3.0,2.0,1,150,70,0.45714285714285713,3900.0,3550.0
0,win_5,3.0,2.5,1,150,70,0.4142857142857143,4725.000000000002,4375.000000000002
0,win_5,3.0,3.0,1,150,70,0.4,6300.0,5950.0
0,win_5,3.0,5.0,1,150,70,0.2571428571428571,5700.0,5350.0
0,win_15,2.5,1.5,1,40,50,0.1,-1500.0,-1750.0
0,win_15,2.5,2.0,1,40,50,0.1,-1400.0,-1650.0
0,win_15,2.5,2.5,1,40,50,0.1,-1300.0,-1550.0
0,win_15,2.5,3.0,1,40,50,0.1,-1200.0,-1450.0
0,win_15,2.5,5.0,1,40,50,0.1,-800.0,-1050.0
0,win_15,2.5,1.5,1,80,50,0.24,-1600.0,-1850.0
0,win_15,2.5,2.0,1,80,50,0.22,-1360.0,-1610.0
0,win_15,2.5,2.5,1,80,50,0.22,-920.0,-1170.0
0,win_15,2.5,3.0,1,80,50,0.22,-480.0,-730.0
0,win_15,2.5,5.0,1,80,50,0.2,800.0,550.0
0,win_15,2.5,1.5,1,100,50,0.28,-1499.9999999999995,-1749.9999999999995
0,win_15,2.5,2.0,1,100,50,0.26,-1100.0,-1350.0
0,win_15,2.5,2.5,1,100,50,0.26,-450.0,-700.0
0,win_15,2.5,3.0,1,100,50,0.22,-600.0,-850.0
0,win_15,2.5,5.0,1,100,50,0.2,1000.0,750.0
0,win_15,2.5,1.5,1,150,50,0.38,-375.0,-625.0
0,win_15,2.5,2.0,1,150,50,0.28,-1199.9999999999995,-1449.9999999999995
0,win_15,2.5,2.5,1,150,50,0.28,-149.99999999999892,-399.9999999999989
