Timeframe,pontos,zig_zag_percent,merge_percent,rate_tp,N_trades,Taxa_acerto,Pontos_total,Retorno
1,0.0003,0.1,0.1,1,176,73.29545454545455,0.0158,2.4238484101296662
1,0.0005,0.1,0.1,1,170,62.35294117647059,0.012499999999999997,2.0611143667698353
1,0.0003,0.2,0.1,1,139,76.2589928057554,0.014949999999999995,2.1435476916298417
1,0.0005,0.2,0.1,1,137,64.96350364963503,0.013649999999999983,2.018072195839778
1,0.0003,0.3,0.1,1,97,73.19587628865979,0.00865,1.3800894377898425
1,0.0005,0.3,0.1,1,94,64.8936170212766,0.0093,1.3269546062098592
1,0.0003,0.1,0.2,1,133,75.93984962406014,0.014049999999999997,2.166811118789688
1,0.0005,0.1,0.2,1,130,65.38461538461539,0.013500000000000003,2.0681804888196735
1,0.0003,0.2,0.2,1,90,76.66666666666667,0.009899999999999999,1.4635136878597437
1,0.0005,0.2,0.2,1,87,65.51724137931035,0.009150000000000002,1.366038180559829
1,0.0003,0.3,0.2,1,84,73.80952380952381,0.0078,1.2435251055098027
1,0.0005,0.3,0.2,1,82,68.29268292682927,0.0109,1.3764562903297395
1,0.0003,0.1,0.3,1,112,79.46428571428571,0.014199999999999997,2.0518570646996945
1,0.0005,0.1,0.3,1,110,75.45454545454545,0.022500000000000003,2.80483316028969
1,0.0003,0.2,0.3,1,75,81.33333333333333,0.010349999999999998,1.4254426265397966
1,0.0005,0.2,0.3,1,73,68.4931506849315,0.009850000000000001,1.4155545353197456
1,0.0003,0.3,0.3,1,61,75.40983606557377,0.006249999999999999,0.9344075533797442
1,0.0005,0.3,0.3,1,57,63.1578947368421,0.004650000000000001,0.7139894053498208
