ativo,rate_tp,rate_stop,pontos,qtd_operacoes,taxa_acerto,pontos_bruto,pontos_liquido
win_5,2.0,1,20,175,0.8342857142857143,5260.0,4385.0
win_5,2.5,1,20,175,0.7771428571428571,6020.0,5145.0
win_5,3.0,1,20,175,0.7485714285714286,6980.0,6105.0
win_5,5.0,1,20,175,0.5371428571428571,7780.0,6905.0
win_5,1.5,1,40,175,0.7485714285714286,6100.0,5225.0
win_5,2.0,1,40,175,0.6285714285714286,6200.0,5325.0
win_5,2.5,1,40,175,0.5371428571428571,6160.0,5285.0
win_5,3.0,1,40,175,0.4514285714285714,5640.0,4765.0
win_5,5.0,1,40,175,0.2857142857142857,5000.0,4125.0
win_5,1.5,1,80,175,0.5257142857142857,4400.0,3525.0
win_5,2.0,1,80,175,0.4114285714285714,3280.0,2405.0
win_5,2.5,1,80,175,0.38285714285714284,4760.0,3885.0
win_5,3.0,1,80,175,0.32,3920.0,3045.0
win_5,5.0,1,80,175,0.21142857142857144,3760.0,2885.0
win_5,1.5,1,100,175,0.5085714285714286,4750.0,3875.0
win_5,2.0,1,100,175,0.45714285714285713,6500.0,5625.0
win_5,2.5,1,100,175,0.37142857142857144,5250.0,4375.0
win_5,3.0,1,100,175,0.3314285714285714,5699.999999999997,4824.999999999997
win_5,5.0,1,100,175,0.21142857142857144,4700.0,3825.0
win_5,1.5,1,20,70,0.8428571428571429,1550.0,1200.0
win_5,2.0,1,20,70,0.8,1960.0,1610.0
win_5,2.5,1,20,70,0.7714285714285715,2380.0,2030.0
win_5,3.0,1,20,70,0.7285714285714285,2680.0,2330.0
win_5,5.0,1,20,70,0.6,3640.0,3290.0
win_5,1.5,1,40,70,0.7285714285714285,2300.0,1950.0
win_5,2.0,1,40,70,0.6571428571428571,2720.0,2370.0
win_5,2.5,1,40,70,0.6,3080.0,2730.0
win_5,3.0,1,40,70,0.5,2800.0,2450.0
win_5,5.0,1,40,70,0.35714285714285715,3200.0,2850.0
win_5,1.5,1,80,70,0.5714285714285714,2400.0,2050.0
win_5,2.0,1,80,70,0.4857142857142857,2560.0,2210.0
win_5,2.5,1,80,70,0.44285714285714284,3080.0,2730.0
win_5,3.0,1,80,70,0.37142857142857144,2720.0,2370.0
win_5,5.0,1,80,70,0.2571428571428571,3040.0,2690.0
win_5,1.5,1,100,70,0.5571428571428572,2750.0,2400.0
win_5,2.0,1,100,70,0.5142857142857142,3800.0,3450.0
win_5,2.5,1,100,70,0.42857142857142855,3500.0,3150.0
win_5,3.0,1,100,70,0.38571428571428573,3800.0,3450.0
win_5,5.0,1,100,70,0.2571428571428571,3800.0,3450.0
win_15,1.5,1,20,100,0.91,2550.0,2050.0
win_15,2.0,1,20,100,0.87,3220.0,2720.0
win_15,2.5,1,20,100,0.81,3670.0,3170.0
win_15,3.0,1,20,100,0.74,3920.0,3420.0
win_15,5.0,1,20,100,0.6,5200.0,4700.0
win_15,1.5,1,40,100,0.74,3400.0,2900.0
win_15,2.0,1,40,100,0.68,4160.0,3660.0
win_15,2.5,1,40,100,0.6,4400.0,3900.0
win_15,3.0,1,40,100,0.57,5119.999999999999,4619.999999999999
win_15,5.0,1,40,100,0.41,5840.0,5340.0
win_15,1.5,1,80,100,0.57,3399.999999999998,2899.999999999998
win_15,2.0,1,80,100,0.48,3520.0,3020.0
win_15,2.5,1,80,100,0.41,3480.0,2980.0
win_15,3.0,1,80,100,0.34,2880.0,2380.0
win_15,5.0,1,80,100,0.22,2560.0,2060.0
win_15,1.5,1,100,100,0.5,2500.0,2000.0
win_15,2.0,1,100,100,0.42,2600.0,2100.0
win_15,2.5,1,100,100,0.35,2250.0,1750.0
win_15,3.0,1,100,100,0.32,2800.0,2300.0
win_15,5.0,1,100,100,0.18,800.0,300.0
win_15,1.5,1,20,50,0.92,1300.0,1050.0
win_15,2.0,1,20,50,0.9,1700.0,1450.0
win_15,2.5,1,20,50,0.84,1940.0,1690.0
win_15,3.0,1,20,50,0.76,2040.0,1790.0
win_15,5.0,1,20,50,0.62,2720.0,2470.0
win_15,1.5,1,40,50,0.76,1800.0,1550.0
win_15,2.0,1,40,50,0.7,2200.0,1950.0
win_15,2.5,1,40,50,0.62,2340.0,2090.0
win_15,3.0,1,40,50,0.56,2480.0000000000005,2230.0000000000005
win_15,5.0,1,40,50,0.32,1840.0,1590.0
win_15,1.5,1,80,50,0.56,1600.000000000001,1350.000000000001
win_15,2.0,1,80,50,0.46,1520.0,1270.0
win_15,2.5,1,80,50,0.32,480.0,230.0
win_15,3.0,1,80,50,0.32,1120.0,870.0
win_15,5.0,1,80,50,0.22,1280.0,1030.0
win_15,1.5,1,100,50,0.48,1000.0,750.0
win_15,2.0,1,100,50,0.32,-200.0,-450.0
win_15,2.5,1,100,50,0.32,600.0,350.0
win_15,3.0,1,100,50,0.28,600.0000000000007,350.0000000000007
win_15,5.0,1,100,50,0.2,1000.0,750.0
win_15,1.5,1,20,19,0.8947368421052632,470.0,375.0
win_15,2.0,1,20,19,0.8947368421052632,640.0,545.0
win_15,2.5,1,20,19,0.8421052631578947,740.0,645.0
win_15,3.0,1,20,19,0.8421052631578947,900.0,805.0
win_15,5.0,1,20,19,0.7368421052631579,1300.0,1205.0
win_15,1.5,1,40,19,0.8421052631578947,840.0,745.0
win_15,2.0,1,40,19,0.7894736842105263,1040.0,945.0
win_15,2.5,1,40,19,0.7368421052631579,1200.0,1105.0
win_15,3.0,1,40,19,0.5789473684210527,1000.0,905.0
win_15,5.0,1,40,19,0.2631578947368421,440.0,345.0
win_15,1.5,1,80,19,0.5789473684210527,680.0,585.0
win_15,2.0,1,80,19,0.42105263157894735,400.0,305.0
win_15,2.5,1,80,19,0.2631578947368421,-120.0,-215.0
win_15,3.0,1,80,19,0.21052631578947367,-240.0,-335.0
win_15,5.0,1,80,19,0.10526315789473684,-560.0,-655.0
win_15,1.5,1,100,19,0.47368421052631576,350.0,255.0
win_15,2.0,1,100,19,0.2631578947368421,-400.0,-495.0
win_15,2.5,1,100,19,0.21052631578947367,-500.0,-595.0
win_15,3.0,1,100,19,0.15789473684210525,-700.0,-795.0
win_15,5.0,1,100,19,0.10526315789473684,-700.0,-795.0
