,Data,Open,High,Low,Close,Vol,MA_5,MA_21,SAR,BB_up,BB_mid,BB_low,OBV,macd,macdsignal,macdhist,fastk,fastd,RSI,MOM,TRIX,CCI,ADX,MA_9,MA_100,acao,resultado_valor,resultado_binario
411,2018-01-03 10:00:00,78150.0,78380.0,78145.0,78265.0,60038,78215.0,78220.23809523809,72605.0,78395.60562436057,78224.25,78052.89437563943,1952239.0,96.88881806237623,135.40819424057582,-38.51937617819959,44.44444444444444,24.454118297401745,62.52191797269177,-50.0,0.03127323066771659,-7.471647765162403,57.87112906205283,78235.22941558086,77330.9,sell,-205.0,0
444,2018-01-04 09:00:00,78620.0,78725.0,78505.0,78640.0,35291,78512.0,78632.85714285714,72605.0,78906.44381431305,78639.5,78372.55618568695,1951848.0,17.200572512985673,55.07071192752854,-37.87013941454287,77.33333333333333,39.030789825970395,53.65441766877331,-255.0,0.022311587205092742,-16.27978953884404,33.40873951606626,78562.74002523636,77915.75,sell,-420.0,0
481,2018-01-05 09:00:00,79440.0,79600.0,79370.0,79580.0,47589,79232.0,79430.71428571429,72605.0,79842.11939026114,79428.5,79014.88060973886,2231812.0,16.799652128916932,47.41508391088752,-30.615431781970585,97.12230215827338,66.30803465335823,62.61274282145214,80.0,0.024067914559622317,60.930030421561554,28.354864010830465,79303.2236829211,78727.4,sell,750.0,1
492,2018-01-05 11:45:00,79010.0,79240.0,78975.0,79110.0,51017,79019.0,79181.66666666667,72605.0,79528.74134338651,79167.75,78806.75865661349,1945378.0,-73.14187068633328,-46.93407962184595,-26.207791064487324,72.63157894736842,63.36396546922845,47.35463996120756,-420.0,0.015060628620577887,-21.84397163120554,25.529874203855716,79075.86687664477,78839.95,sell,-150.0,0
509,2018-01-05 16:00:00,79325.0,79405.0,79220.0,79365.0,31406,79373.0,79251.19047619047,72605.0,79594.89219119101,79264.5,78934.10780880899,2056082.0,51.32055316747574,42.94891097223011,8.371642195245627,58.82352941176471,45.82409298172407,54.373168492666224,60.0,0.007543985541835774,-9.011055580801433,24.141051603269574,79361.71336702399,79022.35,sell,10.0,1
516,2018-01-05 17:45:00,79335.0,79470.0,79330.0,79440.0,23460,79362.0,79362.85714285714,72605.0,79491.17677765085,79380.25,79269.32322234915,2074062.0,38.55128179967869,42.91333540585253,-4.362053606173838,86.04651162790698,52.37189800594786,57.111887286195554,45.0,0.007222286181773896,61.368653421604584,23.505357624982867,79376.4476391081,79096.45,sell,-310.0,0
527,2018-01-08 11:15:00,79135.0,79330.0,79100.0,79295.0,51810,79217.0,79348.80952380953,72605.0,79569.23181999885,79347.5,79125.76818000115,1962906.0,-24.935967404744588,3.6882769016707924,-28.62424430641538,71.01449275362319,37.49263579592303,49.174024812587106,-335.0,0.0059606076601159685,-67.81186094069291,17.161816063886796,79268.84168895491,79180.1,sell,-190.0,0
543,2018-01-08 15:15:00,79360.0,79580.0,79345.0,79570.0,58213,79428.0,79413.09523809524,72605.0,79683.59707425251,79417.0,79150.40292574749,2108321.0,29.059939867511275,32.419223245594424,-3.3592833780831484,96.36363636363636,53.14991345681869,57.91549422130144,100.0,0.005427028489579655,16.53780068726609,19.288730142310538,79458.22110809124,79313.3,sell,-220.0,0
556,2018-01-09 09:15:00,79735.0,79945.0,79685.0,79815.0,66766,79802.0,79620.47619047618,72605.0,79950.59265421893,79625.75,79300.90734578107,2260098.0,102.67757202518987,91.03228985679314,11.645282168396733,60.0,63.771258503401214,61.91514390813665,300.0,0.008224500599562923,72.75205845465953,28.72078453718884,79757.22964102335,79400.65,sell,80.0,1
567,2018-01-09 12:00:00,79580.0,79720.0,79550.0,79695.0,46578,79610.0,79722.85714285714,72605.0,79885.13969095168,79724.0,79562.86030904832,2100987.0,15.76610319428437,41.716182828589595,-25.950079634305226,86.8421052631579,40.26812313803363,53.47203156719841,-95.0,0.009316542905546399,-46.14071038253368,17.877123690317436,79654.39571614235,79420.0,sell,220.0,1
573,2018-01-09 13:30:00,79475.0,79610.0,79445.0,79550.0,53197,79493.0,79648.09523809524,72605.0,79876.48672412986,79638.75,79401.01327587014,1935931.0,-32.501401042885846,-7.66444089014826,-24.836960152737586,74.46808510638297,43.43741365017947,47.15591100747218,-65.0,0.00745262475305708,-46.68813247469807,15.194914216885463,79540.38111061242,79418.15,sell,85.0,1
