Data,resultado_valor,Open,High,Low,Close,Vol,MA_5,MA_21,SAR,BB_up,BB_mid,BB_low,OBV,macd,macdsignal,macdhist,fastk,fastd,RSI,MOM,TRIX,CCI,ADX,MA_9,MA_100,acao,resultado_binario
2022-03-30 09:30:00,-25.0,120780.0,120870.0,120755.0,120815.0,38012,120818.0,120756.19047619047,120095.0,120911.3848247851,120759.5,120607.6151752149,394180.0,58.47788003132155,62.81264024706745,-4.334760215745902,45.16129032258064,25.24731182795698,59.901515265255455,25.0,0.002563252234333291,28.101349127935283,26.397803176620943,120806.4514443906,120610.0,call,0
2022-03-30 09:46:00,15.0,120895.0,120925.0,120875.0,120920.0,13105,120919.0,120867.38095238095,120095.0,120969.40705610583,120868.25,120767.09294389417,539319.0,47.95310804399196,52.237045890731466,-4.283937846739505,55.0,38.03030303030302,62.50916349021735,20.0,0.004499439417804396,37.1980676328643,32.41872859543668,120904.89511780621,120650.15,call,1
2022-03-30 09:54:00,-75.0,120910.0,120940.0,120890.0,120915.0,12617,120909.0,120899.52380952382,120095.0,120948.34540335057,120903.75,120859.15459664943,494749.0,29.449443714052904,36.39020695387545,-6.9407632398225445,50.0,63.23763955342901,57.714361492345944,10.0,0.004653274325594481,23.333333333223887,27.766988556709215,120907.0061604878,120676.4,call,0
2022-03-30 11:16:00,-75.0,120690.0,120840.0,120680.0,120750.0,53798,120739.0,120675.71428571429,120095.0,120868.41801442177,120685.5,120502.58198557823,51741.0,68.5801108244923,71.28465572126795,-2.7045448967756585,42.42424242424243,22.828282828282813,58.018333251135346,75.0,0.00047625854588950745,46.53511862813877,19.459323975622656,120732.2490441554,120643.55,call,0
2022-03-30 11:28:00,50.0,120755.0,120815.0,120735.0,120775.0,25339,120757.0,120764.28571428571,120095.0,120853.19107199708,120766.25,120679.30892800292,138701.0,40.227446643068106,51.666457959404205,-11.4390113163361,60.97560975609757,52.86488579171504,54.914689566175745,70.0,0.00307606707588004,22.077922077944965,14.938317633867703,120766.96100976472,120627.3,call,1
2022-03-30 11:34:00,10.0,120730.0,120820.0,120725.0,120810.0,43234,120753.0,120760.95238095238,120095.0,120847.55646828766,120761.75,120675.94353171234,87865.0,24.639956816841732,33.580103981271904,-8.940147164430172,95.0,64.7101449275362,57.6720240864165,15.0,0.003474627354793647,32.80891510978468,11.340585107128316,120761.80622694377,120618.15,call,1
2022-03-30 11:51:00,165.0,120695.0,120750.0,120690.0,120740.0,28784,120698.0,120742.85714285714,120095.0,120840.9217634823,120743.5,120646.0782365177,92219.0,-9.922881929567666,-2.1027943517496643,-7.8200875778180015,91.17647058823529,65.68627450980391,50.995452025799594,-90.0,0.0027211318647690774,-6.010247888099489,13.732611254874088,120715.36368126249,120597.55,call,1
2022-03-30 12:01:00,-130.0,120520.0,120640.0,120515.0,120635.0,44892,120526.0,120653.57142857143,120095.0,120823.11689715303,120644.75,120466.38310284697,51006.0,-52.714199607100454,-42.20394808648059,-10.510251520619867,97.5,57.484984984984976,48.87746627095506,-105.0,0.0007865027933817714,-12.215320910959884,25.09005884701008,120576.0696527302,120606.75,call,0
2022-03-30 12:07:00,115.0,120655.0,120720.0,120635.0,120695.0,30199,120724.0,120651.90476190476,120095.0,120842.3278450979,120650.0,120457.6721549021,80421.0,-1.3618964906054316,-16.979058971060244,15.617162480454812,35.294117647058826,40.664541678740456,51.64280606393042,200.0,0.0001411808897344713,43.47826086957085,19.060563998075708,120680.61672304531,120625.3,call,1
2022-03-30 12:13:00,-30.0,120585.0,120690.0,120565.0,120665.0,52973,120581.0,120622.14285714286,120095.0,120812.49277907023,120617.75,120423.00722092977,41831.0,-21.603525483529666,-17.834685909607405,-3.7688395739222607,90.38461538461539,51.120340639396886,51.16843783363567,-100.0,-0.0003537164519951119,-4.636785162276706,19.877846846253977,120618.62471024599,120638.5,call,0
