,Data,Open,High,Low,Close,Vol,MA_5,MA_21,BB_up,BB_mid,BB_low,macd,macdsignal,macdhist,RSI,dist_bb,dist_bb_up,dist_bb_low,dist_media,dist_media_abs,dist_price_media_21,dist_price_media_5,dist_RSI_70,dist_RSI_30,tamanho_corpo,tamanho_full,media_vol_5,media_vol_3,media_vol_10,tamanho_corpo_5,tamanho_corpo_direcao,candle_direcao,candle_direcao_5,candle_direcao_3,candle_direcao_10,tamanho_pra_baixo,tamanho_abaixo,tamanho_pra_cima,tamanho_acima,proximo_candle,pos_BB_inicial,verifica_tamanho,acao,stop,tp,resultado_binario
80036,2022-11-01 13:36:00,118390.0,118395.0,118260.0,118265.0,32397,118351.0,118355.71428571429,118430.02115981569,118354.75,118279.47884018431,-28.58730251711677,-29.575239926482716,0.9879374093659479,41.50442708639323,167.26924403489102,173.3846220174455,6.115377982554492,-4.714285714289872,4.714285714289872,90.71428571428987,86.0,-28.49557291360677,11.504427086393228,125.0,135.0,21939.0,24065.0,19725.0,54.0,-125.0,0,0.6,0.6666666666666666,0.5,130.0,5.0,5.0,130.0,55.0,-1,0.9615377218940601,call,118215.0,118365.0,1.0
80085,2022-11-01 14:25:00,118355.0,118370.0,118240.0,118305.0,36746,118376.0,118395.47619047618,118463.50880227127,118392.5,118321.49119772873,-13.708644329191884,-7.927241993048849,-5.781402336143035,41.81054208675919,157.79733838059474,166.39866919029737,8.601330809702631,-19.476190476183547,19.476190476183547,90.47619047618355,71.0,-28.18945791324081,11.810542086759192,50.0,130.0,21372.8,23648.333333333332,22858.1,36.0,-50.0,0,0.4,0.0,0.4,115.0,65.0,15.0,65.0,10.0,-1,0.4347822306241473,call,118255.0,118405.0,1.0
80096,2022-11-01 14:36:00,118280.0,118280.0,118200.0,118215.0,35082,118299.0,118349.28571428571,118440.73681358129,118347.75,118254.76318641871,-30.16001037276874,-20.793510446992805,-9.366499925775933,35.29574989178309,206.63736351396074,236.06868175698037,29.431318243019632,-50.28571428571013,50.28571428571013,134.28571428571013,84.0,-34.70425010821691,5.295749891783089,65.0,80.0,21670.6,22255.0,18266.0,35.0,-65.0,0,0.4,0.0,0.6,80.0,15.0,0.0,65.0,-35.0,-1,0.8124989843762696,call,118165.0,118315.0,0.0
80120,2022-11-01 15:00:00,118685.0,118905.0,118620.0,118825.0,64832,118706.0,118558.09523809524,118779.98893462143,118568.75,118357.51106537857,89.53058875699935,65.07807263778443,24.45251611921492,66.35716699263513,469.41985471430235,-21.540072642848827,-490.9599273571512,147.9047619047633,147.9047619047633,-266.9047619047633,-119.0,-3.642833007364871,36.35716699263513,140.0,285.0,40165.8,44779.0,30870.7,120.0,140.0,1,0.4,0.3333333333333333,0.5,65.0,205.0,220.0,80.0,65.0,1,0.6363633471075695,sell,118875.0,118725.0,0.0
80160,2022-11-01 15:40:00,119320.0,119330.0,119270.0,119280.0,11507,119331.0,119360.23809523809,119444.73878084893,119365.75,119286.76121915107,36.05333062641148,62.97433732635572,-26.921006699944243,47.50975456771187,175.53062410873827,173.51531205436913,-2.015312054369133,-29.238095238091773,29.238095238091773,80.23809523809177,51.0,-22.490245432288127,17.509754567711873,40.0,60.0,9991.0,12480.666666666666,11816.0,26.0,-40.0,0,0.2,0.0,0.3,50.0,10.0,10.0,50.0,-25.0,-1,0.7999984000032,call,119230.0,119380.0,0.0
80188,2022-11-01 16:08:00,119250.0,119335.0,119235.0,119310.0,24176,119222.0,119185.0,119286.01097495691,119193.75,119101.48902504309,9.689721587390522,-2.925705578133796,12.615427165524318,60.37035466340822,205.0243887931283,-13.737805603435845,-218.76219439656415,37.0,37.0,-125.0,-88.0,-9.629645336591778,30.37035466340822,60.0,100.0,13173.6,15865.666666666666,15741.0,32.0,60.0,1,0.8,0.6666666666666666,0.6,15.0,75.0,85.0,25.0,20.0,1,0.7058815224923265,sell,119360.0,119210.0,0.0
80206,2022-11-01 16:26:00,119110.0,119160.0,119055.0,119075.0,24695,119164.0,119210.47619047618,119332.87525541769,119211.75,119090.62474458231,-18.921654782359838,-6.053613153598278,-12.86804162876156,36.91151260824685,269.1672342615202,271.3336171307601,2.1663828692398965,-46.47619047618355,46.47619047618355,135.47619047618355,89.0,-33.08848739175315,6.911512608246852,35.0,105.0,15682.0,19945.333333333332,13632.0,42.0,-35.0,0,0.2,0.0,0.4,55.0,20.0,50.0,85.0,65.0,-1,0.6363624793409466,call,119025.0,119175.0,1.0
80217,2022-11-01 16:37:00,119210.0,119300.0,119205.0,119265.0,35340,119152.0,119153.33333333333,119261.32581663708,119151.5,119041.67418336292,-8.87773119029589,-22.08125220582692,13.203521015531031,60.45345620075289,244.05737030459568,8.52868515229784,-235.52868515229784,-1.3333333333284827,1.3333333333284827,-111.66666666667152,-113.0,-9.546543799247111,30.45345620075289,55.0,95.0,19143.0,25025.333333333332,17051.6,53.0,55.0,1,0.8,1.0,0.6,5.0,60.0,90.0,35.0,525.0,1,0.6111104320995199,sell,119315.0,119165.0,0.0
80229,2022-11-01 16:49:00,118515.0,118550.0,118000.0,118150.0,92339,118435.0,118945.0,119653.84505112407,118935.25,118216.65494887593,-215.8520852047659,-124.0330305029334,-91.8190547018325,33.58896835409183,1596.877891386801,1583.6889456934005,-13.188945693400456,-510.0,510.0,795.0,285.0,-36.41103164590817,3.5889683540918327,365.0,550.0,56879.6,57294.0,76238.0,196.0,-365.0,0,0.6,0.6666666666666666,0.5,515.0,150.0,35.0,400.0,255.0,-1,0.7087377264586939,call,118100.0,118250.0,1.0
80249,2022-11-01 17:09:00,118540.0,118575.0,118140.0,118175.0,45019,118509.0,118590.71428571429,118967.6796373931,118612.75,118257.8203626069,-107.27719680644805,-88.93684887886494,-18.34034792758311,38.17704949104409,788.73252754024,832.11626377012,43.383736229880014,-81.71428571428987,81.71428571428987,415.7142857142899,334.0,-31.822950508955913,8.177049491044087,365.0,435.0,25495.6,24128.0,28078.8,194.0,-365.0,0,0.4,0.3333333333333333,0.3,400.0,35.0,35.0,400.0,150.0,-1,0.912499771875057,call,118125.0,118275.0,1.0
